ID,URL,Headline,Author,Date/Time
1,https://www.theverge.com/23017361/ifixit-right-to-repair-parts-google-samsung-valve-microsoft,The era of fixing your own phone has nearly arrived,Sean Hollister,"Apr  9, 2022, 12:00pm EDT"
2,https://www.theverge.com/2022/4/8/23017252/amazon-alu-union-eleciton-objections-filing,Amazon says union and NLRB “suppressed and influenced” Staten Island election,Mitchell Clark,"Apr  8, 2022,  6:50pm EDT"
3,https://www.theverge.com/2022/4/9/23017927/apple-tv-plus-friday-night-baseball-debut-mlb-fans-disappointed,Apple TV Plus’ Friday Night Baseball debut wasn’t the homerun fans expected,Emma Roth,"Apr  9, 2022,  2:34pm EDT"
4,https://www.theverge.com/23015400/samsung-galaxy-a53-5g-review-specs-price-screen-camera,Samsung Galaxy A53 5G review: a good deal gets better,Allison Johnson,"Apr  8, 2022, 12:00pm EDT"
5,https://www.theverge.com/2022/4/8/23017239/electric-gaming-bed-bauhutte-motorized-desk-station,This motorized gaming bed lets you rest your gamer head,Mitchell Clark,"Apr  8, 2022,  9:10pm EDT"
6,https://www.theverge.com/2022/4/8/23015468/axie-infinity-blockchain-nft-play-to-earn-game-economics-hack,Axie Infinity’s financial mess started long before its $600 million hack,Adi Robertson,"Apr  8, 2022, 10:08am EDT"
7,https://www.theverge.com/good-deals/2022/4/9/23016504/irobot-roomba-i3-plus-vacuum-microsoft-surface-laptop-studio-drop-mt3-mechanical-keycaps-deal-sale,The Roomba i3 Plus self-emptying vacuum is $90 off for Verge readers,Antonio G. Di Benedetto,"Apr  9, 2022,  9:30am EDT"
8,https://www.theverge.com/2022/4/9/23018126/twitter-reverts-change-left-blank-spaces-websites-embedded-tweets,Twitter reverts change that left blank spaces in place of deleted embedded tweets,Emma Roth,"Apr  9, 2022,  3:44pm EDT"
9,https://www.theverge.com/2022/4/9/23018258/microsoft-control-russian-domains-ukraine-war-cyberattack-fancy-bear-apt28-strontium,Microsoft seized Russian domains targeting Ukrainian media organizations,Emma Roth,"Apr  9, 2022,  6:21pm EDT"
10,https://www.theverge.com/2022/4/9/23017806/google-fi-unlimited-plans-cheaper-more-high-speed-data,Google Fi cuts unlimited plan pricing while increasing high-speed data,Emma Roth,"Apr  9, 2022, 11:25am EDT"
11,https://www.theverge.com/2022/4/8/23017323/amazon-prime-canada-price-hike-subscription-shopping-deals-shipping,"Amazon Prime is getting more expensive in Canada now, too",Catie Keck,"Apr  8, 2022,  7:20pm EDT"
12,https://www.theverge.com/23015650/severance-season-1-review-apple-tv-plus,Severance’s first season is a wonderfully tense workplace horror story,Andrew Webster,"Apr  8, 2022,  8:30am EDT"
13,https://www.theverge.com/2022/4/8/23017045/nissan-ev-solid-state-battery-yokohama-plant-2028,Nissan plans to launch its first EV with a solid-state battery by 2028,Kim Lyons,"Apr  8, 2022,  6:56pm EDT"
14,https://www.theverge.com/2022/4/8/23017059/samsung-galaxy-watch-smartwatch-wearables,"Samsung, please don’t go big for your next smartwatch",Victoria Song,"Apr  8, 2022,  5:55pm EDT"
15,https://www.theverge.com/2022/4/8/23017190/substack-bug-duplicate-email-newsletter-subscription,Substack accidentally sent duplicate emails for some of its newsletters,Richard Lawler,"Apr  8, 2022,  5:49pm EDT"
16,https://www.theverge.com/2022/4/8/23016377/spacex-crew-dragon-axiom-space-ax-1-successful-launch-iss,SpaceX successfully launches first all-private crew en route to space station for Axiom Space,Loren Grush,"Apr  8, 2022, 11:33am EDT"
17,https://www.theverge.com/2022/4/8/23016872/stellantis-jeep-magneto-2-all-electric-concept-returns,Jeep rehashes last year’s all-electric concept with Magneto 2.0,Umar Shakir,"Apr  8, 2022,  5:45pm EDT"
18,https://www.theverge.com/2022/4/8/22972247/warnermedia-discovery-complete-merger-streaming-hbo-max,WarnerMedia and Discovery have completed their mega-streaming merger,Catie Keck,"Apr  8, 2022,  5:31pm EDT"
19,https://www.theverge.com/2022/4/8/23016861/youtube-comment-spam-testing-moderation,"YouTubers are sick of comment spam, so YouTube is testing a stricter moderation system",Jay Peters,"Apr  8, 2022,  4:16pm EDT"
20,https://www.theverge.com/2022/4/8/23016867/apple-dual-port-35-watt-usb-c-charger-power-adapter-leak,Apple just leaked a dual-port 35W USB-C charger that could clear up the GaN mystery,Sean Hollister,"Apr  8, 2022,  2:31pm EDT"
21,https://www.theverge.com/23015091/samsung-galaxy-tab-s8-ultra-tablet-android-review,Samsung Galaxy Tab S8 Ultra review: when bigger isn’t better,Dan Seifert,"Apr  8, 2022,  9:00am EDT"
22,https://www.theverge.com/2022/4/8/23016891/dancing-with-the-stars-disney-plus-exclusive-abc,Dancing With the Stars is heading to Disney Plus,Catie Keck,"Apr  8, 2022,  2:30pm EDT"
23,https://www.theverge.com/23013610/etsy-crafts-sell-creative-amazon-shopify-how-to,The best Etsy alternatives for selling your crafts,Barbara Krasnoff,"Apr  8, 2022,  2:17pm EDT"
24,https://www.theverge.com/2022/4/8/23016670/starlink-spacex-us-government-terminals-funding-usaid,The US government reportedly paid to send Starlink terminals to Ukraine,Mitchell Clark,"Apr  8, 2022,  2:01pm EDT"
25,https://www.theverge.com/2022/4/8/23016588/medical-device-cybersecurity-fda-congress-hacking,The US is trying to fix medical devices’ big cybersecurity problem,Nicole Wetsman,"Apr  8, 2022,  1:30pm EDT"
26,https://www.theverge.com/23014905/coke-byte-pixel-flavored-soda-review-fortnite-metaverse,"I tried the pixel-flavored Coke, and it Bytes",Mitchell Clark,"Apr  8, 2022,  6:00am EDT"
27,https://www.theverge.com/good-deals/2022/4/8/23014831/hp-envy-x360-laptop-amd-rx-6600-gpu-graphics-card-jbl-vizio-soundbar-deal-sale,This HP Envy X360 laptop with an OLED screen is just $700 at Best Buy,Alice Newcome-Beill,"Apr  8, 2022, 12:48pm EDT"
28,https://www.theverge.com/2022/4/8/23016527/wordle-wordlebot-analytics-data-puzzle-game-efficiency,NYT’s new WordleBot tries to gamify something that probably doesn’t need it,Richard Lawler,"Apr  8, 2022, 12:39pm EDT"
29,https://www.theverge.com/2022/4/8/23016553/block-blockstream-tesla-solar-bitcoin-mine-texas,"Block and Blockstream are partnering with Tesla on an off-grid, solar-powered Bitcoin mine in Texas",Jay Peters,"Apr  8, 2022, 12:02pm EDT"
30,https://www.theverge.com/2022/4/8/23016467/bts-tinytan-tamagotchi-bandai-handheld-game-preorder,Keep BTS in your pocket with new TinyTan Tamagotchi,Monica Chin,"Apr  8, 2022, 11:59am EDT"
31,https://www.theverge.com/2022/4/8/23008731/tesla-texas-gigafactory-open-cybertruck-elon-musk,Tesla officially opens Texas Gigafactory,Andrew J. Hawkins,"Apr  8, 2022,  8:41am EDT"
32,https://www.theverge.com/23002145/phone-notifications-android-windows-pc-how-to,How to check your Android phone’s notifications on a Windows PC,Barbara Krasnoff and JR Raphael,"Apr  8, 2022, 11:45am EDT"
33,https://www.theverge.com/2022/4/8/23016233/google-pixel-smartphones-ifixit-repair-program,Google joins Samsung in working with iFixit on a self-repair program,Jon Porter,"Apr  8, 2022, 11:00am EDT"
34,https://www.theverge.com/2022/4/8/23016474/essential-home-prototype-smart-speaker-display-ebay,eBay seller claims an Essential Home smart speaker prototype can be yours for $900,Jon Porter,"Apr  8, 2022, 10:57am EDT"
35,https://www.theverge.com/2022/4/8/23016337/elon-musk-twitter-stock-oneplus-10-review-alienware-aw3423dw-vergecast-podcast-492,"Vergecast: Elon Musk joins Twitter’s board, OnePlus 10 Pro review, and this week’s TVs and monitors",Andrew Marino,"Apr  8, 2022, 10:34am EDT"
36,https://www.theverge.com/23014568/sonic-the-hedgehog-2-review-movie-jim-carrey,Sonic 2 is a family-friendly speedrun through the franchise’s awkward phase,Charles Pulliam-Moore,"Apr  7, 2022,  2:10pm EDT"
37,https://www.theverge.com/23016218/waterfield-analogue-pocket-pouch-review-game-boy-games,WaterField finally made a great Analogue Pocket case,Sam Byford,"Apr  8, 2022, 10:00am EDT"
38,https://www.theverge.com/23014720/samsung-galaxy-tab-s8-s8-plus-tablet-android-review,Samsung Galaxy Tab S8 and S8 Plus review: welcome to the S ecosystem,Dan Seifert,"Apr  8, 2022,  9:00am EDT"
39,https://www.theverge.com/2022/4/8/23016270/robinhood-crypto-wallet-waitlist-open,Robinhood’s crypto wallet opens up to the 2M people waiting for it,Jon Porter,"Apr  8, 2022,  7:12am EDT"
40,https://www.theverge.com/2022/4/8/23016232/fiido-x-break-in-two-recall,Fiido X e-bike recalled due to risk of breaking in half,Thomas Ricker,"Apr  8, 2022,  5:00am EDT"
41,https://www.theverge.com/23012424/anker-first-3d-printer-ankermake-m5-price-specs-launch,Anker’s first 3D printer might be the one you’ve been waiting for,Sean Hollister,"Apr  6, 2022,  3:00am EDT"
42,https://www.theverge.com/2022/4/7/23015822/union-objections-amazon-bessemer-alabama-election-redo,"Union files objections to Amazon’s actions in Bessemer, AL election",Mitchell Clark,"Apr  7, 2022,  8:56pm EDT"
43,https://www.theverge.com/2022/4/7/23013855/chevy-bolt-ev-euv-production-resumes-battery-fix-recall,GM’s Chevy Bolt EV and EUV are finally back in production following battery fire recall,Umar Shakir,"Apr  7, 2022,  8:08pm EDT"
44,https://www.theverge.com/2022/4/7/23015583/google-chrome-os-updates-chromebooks-cameras,"Recent Chrome OS updates broke some Chromebooks’ cameras, but Google has released a fix",Jay Peters,"Apr  7, 2022,  7:48pm EDT"
45,https://www.theverge.com/2022/4/7/23015676/snapchat-american-sign-language-asl-alphabet-lens,Snapchat has a new lens to help you learn the American Sign Language alphabet,Jay Peters,"Apr  7, 2022,  7:07pm EDT"
46,https://www.theverge.com/2022/4/7/23015642/amazon-alu-union-victory-staten-island-objection-plan,Amazon plans to object to union victory in New York,Mitchell Clark,"Apr  7, 2022,  6:53pm EDT"
